repo_full_name,type,stars,python_pct,contributors,commits_last_90d,pushed_at,html_url,web_frameworks_detected,description
ultralytics/yolov5,library,55581,98.45,346,11,2025-10-04T12:12:42Z,https://github.com/ultralytics/yolov5,flask,YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite
hiyouga/LLaMA-Factory,framework,59850,99.55,218,70,2025-10-07T16:18:35Z,https://github.com/hiyouga/LLaMA-Factory,"fastapi,gradio",Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024)
mitmproxy/mitmproxy,webapp,40777,80.6,578,46,2025-10-05T11:43:24Z,https://github.com/mitmproxy/mitmproxy,flask,An interactive TLS-capable intercepting HTTP proxy for penetration testers and software developers.
freqtrade/freqtrade,webapp,43431,98.34,369,810,2025-10-09T04:31:49Z,https://github.com/freqtrade/freqtrade,fastapi,"Free, open source crypto trading bot"
OpenBB-finance/OpenBB,webapp,53046,100.0,253,30,2025-10-09T05:27:45Z,https://github.com/OpenBB-finance/OpenBB,"fastapi,streamlit","Financial data platform for analysts, quants and AI agents."
oobabooga/text-generation-webui,webapp,45124,88.01,372,200,2025-10-08T15:40:53Z,https://github.com/oobabooga/text-generation-webui,"fastapi,gradio","The definitive Web UI for local AI, with powerful features and easy setup."
gradio-app/gradio,framework,40139,52.43,454,238,2025-10-08T23:24:47Z,https://github.com/gradio-app/gradio,"fastapi,gradio","Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!"
unclecode/crawl4ai,library,54348,99.39,49,97,2025-10-09T04:53:51Z,https://github.com/unclecode/crawl4ai,"fastapi,flask","🚀🤖 Crawl4AI: Open-source LLM Friendly Web Crawler & Scraper. Don't be shy, join here: https://discord.gg/jP8KfhDhyN"
RVC-Boss/GPT-SoVITS,framework,51401,96.56,93,13,2025-09-10T07:01:05Z,https://github.com/RVC-Boss/GPT-SoVITS,"fastapi,gradio",1 min voice data can also be used to train a good TTS model! (few shot voice cloning)
paperless-ngx/paperless-ngx,webapp,32694,54.17,418,228,2025-10-09T00:33:35Z,https://github.com/paperless-ngx/paperless-ngx,django,"A community-supported supercharged document management system: scan, index and archive all your documents"
mem0ai/mem0,sdk,40942,66.24,239,124,2025-10-07T08:42:59Z,https://github.com/mem0ai/mem0,"fastapi,flask,gradio,streamlit",Universal memory layer for AI Agents; Announcing OpenMemory MCP - local and secure memory management.
FoundationAgents/OpenManus,framework,50180,97.85,60,31,2025-09-30T21:06:32Z,https://github.com/FoundationAgents/OpenManus,fastapi,"No fortress, purely open ground.  OpenManus is Coming."
dagster-io/dagster,webapp,14173,79.24,606,871,2025-10-09T06:54:18Z,https://github.com/dagster-io/dagster,"fastapi,flask,streamlit","An orchestration platform for the development, production, and observation of data assets."
goauthentik/authentik,webapp,18339,51.98,438,1208,2025-10-09T04:30:23Z,https://github.com/goauthentik/authentik,django,The authentication glue you need.
hpcaitech/ColossalAI,framework,41198,93.16,197,120,2025-10-06T17:48:50Z,https://github.com/hpcaitech/ColossalAI,"fastapi,gradio,streamlit","Making large AI models cheaper, faster and more accessible"
pennersr/django-allauth,library,10152,94.78,788,53,2025-10-05T18:08:30Z,https://github.com/pennersr/django-allauth,django,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party (social) account authentication. 🔁 Mirror of https://codeberg.org/allauth/django-allauth/"
ansible/awx,webapp,14961,97.92,680,97,2025-10-09T08:28:55Z,https://github.com/ansible/awx,django,"AWX provides a web-based user interface, REST API, and task engine built on top of Ansible. It is one of the upstream projects for Red Hat Ansible Automation Platform."
locustio/locust,webapp,26894,80.06,366,233,2025-10-06T12:56:07Z,https://github.com/locustio/locust,flask,Write scalable load tests in plain Python 🚗💨
Aider-AI/aider,cli tool,37850,80.07,174,88,2025-10-05T19:11:17Z,https://github.com/Aider-AI/aider,streamlit,aider is AI pair programming in your terminal
pytorch/tutorials,collection,8820,96.59,752,88,2025-10-02T17:52:52Z,https://github.com/pytorch/tutorials,flask,PyTorch tutorials.
virattt/ai-hedge-fund,webapp,41712,57.65,36,121,2025-09-30T21:55:53Z,https://github.com/virattt/ai-hedge-fund,fastapi,An AI Hedge Fund Team
netbox-community/netbox,webapp,18764,94.15,427,297,2025-10-09T06:36:45Z,https://github.com/netbox-community/netbox,django,The premier source of truth powering network automation. Open source under Apache 2. Try NetBox Cloud free: https://netboxlabs.com/products/free-netbox-cloud/
NanmiCoder/MediaCrawler,tool,37700,100.0,61,108,2025-10-02T06:27:20Z,https://github.com/NanmiCoder/MediaCrawler,fastapi,小红书笔记 | 评论爬虫、抖音视频 | 评论爬虫、快手视频 | 评论爬虫、B 站视频 ｜ 评论爬虫、微博帖子 ｜ 评论爬虫、百度贴吧帖子 ｜ 百度贴吧评论回复爬虫  | 知乎问答文章｜评论爬虫
nicolargo/glances,webapp,30152,82.76,210,103,2025-10-08T16:09:41Z,https://github.com/nicolargo/glances,fastapi,"Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems."
searxng/searxng,webapp,22323,80.41,325,209,2025-10-08T11:48:47Z,https://github.com/searxng/searxng,flask,SearXNG is a free internet metasearch engine which aggregates results from various search services and databases. Users are neither tracked nor profiled.
django-cms/django-cms,webapp,10568,61.02,592,35,2025-10-08T07:14:43Z,https://github.com/django-cms/django-cms,django,The easy-to-use and developer-friendly enterprise CMS powered by Django
jumpserver/jumpserver,webapp,28805,94.64,177,197,2025-10-09T08:39:34Z,https://github.com/jumpserver/jumpserver,django,"JumpServer is an open-source Privileged Access Management (PAM) platform that provides DevOps and IT teams with on-demand and secure access to SSH, RDP, Kubernetes, Database and RemoteApp endpoints through a web browser."
chubin/wttr.in,webapp,27694,65.06,222,75,2025-10-07T16:00:17Z,https://github.com/chubin/wttr.in,flask,:partly_sunny: The right way to check the weather
saleor/saleor,webapp,22156,99.05,315,149,2025-10-09T08:13:12Z,https://github.com/saleor/saleor,django,"Saleor Core: the high performance, composable, headless commerce API."
pyinstaller/pyinstaller,tool,12646,69.12,481,88,2025-10-08T17:45:16Z,https://github.com/pyinstaller/pyinstaller,django,Freeze (package) Python programs into stand-alone executables
readthedocs/readthedocs.org,webapp,8261,86.65,539,147,2025-10-09T07:59:11Z,https://github.com/readthedocs/readthedocs.org,django,The source code that powers readthedocs.org
volcengine/verl,framework,14103,92.28,355,452,2025-10-09T06:56:22Z,https://github.com/volcengine/verl,fastapi,verl: Volcano Engine Reinforcement Learning for LLMs
khoj-ai/khoj,webapp,31278,50.76,62,169,2025-09-16T09:17:58Z,https://github.com/khoj-ai/khoj,"django,fastapi","Your AI second brain. Self-hostable. Get answers from the web or your docs. Build custom agents, schedule automations, do deep research. Turn any online or local LLM into your personal, autonomous AI (gpt, claude, gemini, llama, qwen, mistral). Get started - free."
qutebrowser/qutebrowser,browser,10944,74.79,472,75,2025-10-06T10:58:16Z,https://github.com/qutebrowser/qutebrowser,flask,"A keyboard-driven, vim-like browser based on Python and Qt."
assafelovic/gpt-researcher,webapp,23744,51.14,205,63,2025-10-07T14:44:05Z,https://github.com/assafelovic/gpt-researcher,fastapi,LLM based autonomous agent that conducts deep local and web research on any topic and generates a long report with citations.
great-expectations/great_expectations,library,10819,99.4,453,96,2025-10-09T00:11:02Z,https://github.com/great-expectations/great_expectations,flask,Always know what to expect from your data.
dgtlmoon/changedetection.io,webapp,27581,77.81,109,75,2025-10-09T08:20:53Z,https://github.com/dgtlmoon/changedetection.io,flask,"Best and simplest tool for website change detection, web page monitoring, and website change alerts. Perfect for tracking content changes, price drops, restock alerts, and website defacement monitoring—all for free or enjoy our SaaS plan!"
huggingface/peft,library,19770,99.46,253,106,2025-10-08T15:01:52Z,https://github.com/huggingface/peft,gradio,🤗 PEFT: State-of-the-art Parameter-Efficient Fine-Tuning.
prowler-cloud/prowler,cli tool,12182,91.61,333,431,2025-10-09T08:36:32Z,https://github.com/prowler-cloud/prowler,"django,flask","Prowler is the Open Cloud Security platform for AWS, Azure, GCP, Kubernetes, M365 and more. It helps for continuous monitoring, security assessments & audits, incident response, compliance, hardening and forensics readiness. Includes CIS, NIST 800, NIST CSF, CISA, FedRAMP, PCI-DSS, GDPR, HIPAA, FFIEC, SOC2, ENS and more"
cloud-custodian/cloud-custodian,cli tool,5824,98.09,523,39,2025-10-08T15:07:26Z,https://github.com/cloud-custodian/cloud-custodian,flask,"Rules engine for cloud security, cost optimization, and governance, DSL in yaml for policies to query, filter, and take actions on resources"
spotDL/spotify-downloader,cli tool,22322,99.59,173,133,2025-10-08T10:55:05Z,https://github.com/spotDL/spotify-downloader,fastapi,Download your Spotify playlists and songs along with album art and metadata (from YouTube if a match is found).
datalab-to/marker,library,29094,99.67,29,167,2025-10-07T16:48:58Z,https://github.com/datalab-to/marker,"fastapi,streamlit",Convert PDF to markdown + JSON quickly with high accuracy
conda/conda,package manager,7123,98.21,473,140,2025-10-08T21:12:26Z,https://github.com/conda/conda,"django,flask","A system-level, binary package and environment manager running on all major operating systems and platforms."
microsoft/graphrag,framework,28534,96.06,50,24,2025-10-09T04:37:51Z,https://github.com/microsoft/graphrag,streamlit,A modular graph-based Retrieval-Augmented Generation (RAG) system
arc53/DocsGPT,webapp,17163,51.59,213,305,2025-10-08T22:26:10Z,https://github.com/arc53/DocsGPT,flask,"Private AI platform for agents, assistants and enterprise search. Built-in Agent Builder, Deep research, Document analysis, Multi-model support, and API connectivity for agents."
bridgecrewio/checkov,cli tool,8062,75.46,432,77,2025-10-09T08:09:47Z,https://github.com/bridgecrewio/checkov,"django,flask","Prevent cloud misconfigurations and find vulnerabilities during build-time in infrastructure as code, container images and open source packages with Checkov by Bridgecrew."
mlc-ai/mlc-llm,deployment engine,21448,68.49,148,39,2025-10-06T16:28:25Z,https://github.com/mlc-ai/mlc-llm,fastapi,Universal LLM Deployment Engine with ML Compilation
fortra/impacket,library,14930,99.99,277,38,2025-10-02T14:38:29Z,https://github.com/fortra/impacket,flask,Impacket is a collection of Python classes for working with network protocols.
DrewThomasson/ebook2audiobook,webapp,11563,89.48,27,1605,2025-09-25T21:18:54Z,https://github.com/DrewThomasson/ebook2audiobook,"fastapi,gradio","Generate audiobooks from e-books, voice cloning & 1107+ languages!"
jupyterhub/jupyterhub,webapp,8144,90.06,384,126,2025-10-07T15:22:53Z,https://github.com/jupyterhub/jupyterhub,fastapi,Multi-user server for Jupyter notebooks
sinaptik-ai/pandas-ai,library,22218,99.44,111,63,2025-10-07T08:22:12Z,https://github.com/sinaptik-ai/pandas-ai,fastapi,"Chat with your database or your datalake (SQL, CSV, parquet). PandasAI makes data analysis conversational using LLMs and RAG."
onyx-dot-app/onyx,webapp,15444,69.12,163,381,2025-10-09T06:09:54Z,https://github.com/onyx-dot-app/onyx,fastapi,Open Source AI Platform - AI Chat with advanced features that works with every LLM
LibreTranslate/LibreTranslate,webapp,12806,74.36,272,45,2025-09-23T17:31:08Z,https://github.com/LibreTranslate/LibreTranslate,flask,"Free and Open Source Machine Translation API. Self-hosted, offline capable and easy to setup."
spyder-ide/spyder,ide,8944,92.33,268,435,2025-10-08T19:33:14Z,https://github.com/spyder-ide/spyder,django,Official repository for Spyder - The Scientific Python Development Environment
comet-ml/opik,webapp,14652,71.13,76,820,2025-10-09T08:02:54Z,https://github.com/comet-ml/opik,flask,"Debug, evaluate, and monitor your LLM applications, RAG systems, and agentic workflows with comprehensive tracing, automated evaluations, and production-ready dashboards."
huggingface/lerobot,framework,17784,99.85,119,153,2025-10-09T08:15:08Z,https://github.com/huggingface/lerobot,flask,🤗 LeRobot: Making AI for Robotics more accessible with end-to-end learning
skypilot-org/skypilot,framework,8807,87.4,168,799,2025-10-09T08:29:20Z,https://github.com/skypilot-org/skypilot,"fastapi,streamlit","Run, manage, and scale AI workloads on any AI infrastructure. Use one system to access & manage all AI compute (Kubernetes, 17+ clouds, or on-prem)."
wandb/wandb,webapp,10386,75.86,222,349,2025-10-09T07:35:01Z,https://github.com/wandb/wandb,"fastapi,flask","The AI developer platform. Use Weights & Biases to train and fine-tune models, and manage models from experimentation to production."
zauberzeug/nicegui,framework,14118,90.26,184,148,2025-10-09T08:05:04Z,https://github.com/zauberzeug/nicegui,fastapi,Create web-based user interfaces with Python. The nice way.
567-labs/instructor,library,11589,99.99,226,155,2025-10-08T21:25:24Z,https://github.com/567-labs/instructor,fastapi,structured outputs for llms
django-commons/django-debug-toolbar,extension,8290,79.29,314,25,2025-10-07T16:21:58Z,https://github.com/django-commons/django-debug-toolbar,django,A configurable set of panels that display various debug information about the current request/response.
OpenBMB/MiniCPM-V,webapp demo,22044,83.28,33,50,2025-09-24T15:03:00Z,https://github.com/OpenBMB/MiniCPM-V,"fastapi,gradio","MiniCPM-V 4.5: A GPT-4o Level MLLM for Single Image, Multi Image and High-FPS Video Understanding on Your Phone"
mealie-recipes/mealie,webapp,10230,60.78,201,378,2025-10-09T04:05:33Z,https://github.com/mealie-recipes/mealie,fastapi,Mealie is a self hosted recipe manager and meal planner with a RestAPI backend and a reactive frontend application built in Vue for a pleasant user experience for the whole family. Easily add recipes into your database by providing the url and mealie will automatically import the relevant data or add a family recipe with the UI editor
llamastack/llama-stack,server and sdk,8100,86.52,189,648,2025-10-08T22:12:15Z,https://github.com/llamastack/llama-stack,"fastapi,streamlit",Composable building blocks to build Llama Apps
Fosowl/agenticSeek,webapp,22087,81.35,32,15,2025-09-14T18:15:49Z,https://github.com/Fosowl/agenticSeek,"fastapi,flask","Fully Local Manus AI. No APIs, No $200 monthly bills. Enjoy an autonomous agent that thinks, browses the web, and code for the sole cost of electricity. 🔔 Official updates only via twitter @Martin993886460 (Beware of fake account)"
Skyvern-AI/skyvern,webapp,14534,64.47,64,580,2025-10-09T08:30:42Z,https://github.com/Skyvern-AI/skyvern,fastapi,Automate browser-based workflows with LLMs and Computer Vision
Avaiga/taipy,framework,18763,76.21,89,24,2025-10-08T09:02:32Z,https://github.com/Avaiga/taipy,flask,Turns Data and AI algorithms into production-ready web applications in no time.
emcie-co/parlant,webapp,13551,88.46,21,880,2025-10-08T22:55:47Z,https://github.com/emcie-co/parlant,fastapi,LLM agents built for control. Designed for real-world use. Deployed in minutes.
feast-dev/feast,backend service,6380,72.82,321,92,2025-10-09T06:07:11Z,https://github.com/feast-dev/feast,fastapi,The Open Source Feature Store for AI/ML
axolotl-ai-cloud/axolotl,framework,10577,95.9,210,207,2025-10-08T15:27:01Z,https://github.com/axolotl-ai-cloud/axolotl,gradio,Go ahead and axolotl questions
fastapi/sqlmodel,library,16898,99.86,97,99,2025-10-08T16:38:40Z,https://github.com/fastapi/sqlmodel,fastapi,"SQL databases in Python, designed for simplicity, compatibility, and robustness."
SWE-agent/SWE-agent,framework,17537,94.68,88,32,2025-10-06T22:36:29Z,https://github.com/SWE-agent/SWE-agent,flask,"SWE-agent takes a GitHub issue and tries to automatically fix it, using your LM of choice. It can also be employed for offensive cybersecurity or competitive coding challenges. [NeurIPS 2024]"
eternnoir/pyTelegramBotAPI,library,8566,100.0,264,43,2025-09-03T15:01:47Z,https://github.com/eternnoir/pyTelegramBotAPI,flask,Python Telegram bot api.
getzep/graphiti,webapp,18718,99.51,33,145,2025-10-08T14:45:53Z,https://github.com/getzep/graphiti,fastapi,Build Real-Time Knowledge Graphs for AI Agents
modelscope/modelscope,framework,8376,98.72,256,49,2025-10-09T02:29:22Z,https://github.com/modelscope/modelscope,"fastapi,gradio",ModelScope: bring the notion of Model-as-a-Service to life.
laramies/theHarvester,cli tool,14665,99.61,114,115,2025-10-08T21:20:36Z,https://github.com/laramies/theHarvester,fastapi,"E-mails, subdomains and names Harvester - OSINT"
datalab-to/surya,library,18672,99.68,17,173,2025-10-08T17:11:34Z,https://github.com/datalab-to/surya,streamlit,"OCR, layout analysis, reading order, table recognition in 90+ languages"
qodo-ai/pr-agent,tool,9160,99.85,193,231,2025-10-06T11:16:44Z,https://github.com/qodo-ai/pr-agent,fastapi,"🚀 PR-Agent: An AI-Powered 🤖 Tool for Automated Pull Request Analysis, Feedback, Suggestions and More! 💻🔍 (For more advanced: check Qodo Merge)"
polarsource/polar,webapp,7319,59.4,83,948,2025-10-09T08:08:28Z,https://github.com/polarsource/polar,fastapi,Turn your software into a business.
soxoj/maigret,webapp,17709,65.94,48,57,2025-10-09T06:02:24Z,https://github.com/soxoj/maigret,flask,🕵️‍♂️ Collect a dossier on a person by username from thousands of sites
topoteretes/cognee,api service,7598,92.46,70,941,2025-10-09T07:53:31Z,https://github.com/topoteretes/cognee,fastapi,Memory for AI Agents in 6 lines of code
pdm-project/pdm,package manager,8477,90.2,230,50,2025-10-09T03:23:15Z,https://github.com/pdm-project/pdm,streamlit,A modern Python package and dependency manager supporting the latest PEP standards
wger-project/wger,webapp,5215,88.95,272,137,2025-10-08T19:57:35Z,https://github.com/wger-project/wger,django,"Self hosted FLOSS fitness/workout, nutrition and weight tracker"
bentoml/BentoML,framework,8116,96.57,225,60,2025-10-08T01:30:04Z,https://github.com/bentoml/BentoML,fastapi,"The easiest way to serve AI apps and models - Build Model Inference APIs, Job queues, LLM apps, Multi-model pipelines, and more!"
jazzband/pip-tools,cli tool,7942,99.62,217,88,2025-10-06T20:20:34Z,https://github.com/jazzband/pip-tools,django,A set of tools to keep your pinned Python dependencies fresh.
Mailu/Mailu,webapp,6834,73.05,246,47,2025-10-07T13:40:46Z,https://github.com/Mailu/Mailu,flask,Insular email distribution - mail server as Docker images
FunAudioLLM/CosyVoice,framework,16769,98.44,43,35,2025-09-28T07:28:15Z,https://github.com/FunAudioLLM/CosyVoice,"fastapi,gradio","Multi-lingual large voice generation model, providing inference, training and deployment full-stack ability."
ShishirPatil/gorilla,toolkit,12460,72.32,128,16,2025-10-02T09:50:25Z,https://github.com/ShishirPatil/gorilla,fastapi,Gorilla: Training and Evaluating LLMs for Function Calls (Tool Calls)
modelscope/ms-swift,framework,10229,99.81,95,402,2025-10-09T07:39:36Z,https://github.com/modelscope/ms-swift,"fastapi,gradio","Use PEFT or Full-parameter to CPT/SFT/DPO/GRPO 500+ LLMs (Qwen3, Qwen3-MoE, Llama4, GLM4.5, InternLM3, DeepSeek-R1, ...) and 200+ MLLMs (Qwen3-VL, Qwen3-Omni, InternVL3.5, Ovis2.5, Llava, GLM4v, Phi4, ...) (AAAI 2025)."
flet-dev/flet,framework,14489,70.45,75,55,2025-10-08T22:25:45Z,https://github.com/flet-dev/flet,fastapi,"Flet enables developers to easily build realtime web, mobile and desktop apps in Python. No frontend experience required."
suitenumerique/docs,webapp,13848,53.35,52,198,2025-10-09T06:21:16Z,https://github.com/suitenumerique/docs,django,"A collaborative note taking, wiki and documentation platform that scales. Built with Django and React."
benbusby/whoogle-search,webapp,11008,64.54,140,34,2025-10-04T15:30:30Z,https://github.com/benbusby/whoogle-search,flask,"A self-hosted, ad-free, privacy-respecting metasearch engine"
keephq/keep,webapp,10777,63.08,139,51,2025-10-09T07:50:01Z,https://github.com/keephq/keep,fastapi,The open-source AIOps and alert management platform
Alibaba-NLP/DeepResearch,framework,15609,96.65,26,127,2025-10-05T13:59:40Z,https://github.com/Alibaba-NLP/DeepResearch,"fastapi,streamlit","Tongyi Deep Research, the Leading Open-source Deep Research Agent"
awslabs/mcp,framework,6662,97.37,168,311,2025-10-09T08:16:04Z,https://github.com/awslabs/mcp,"fastapi,streamlit","AWS MCP Servers — helping you get the most out of AWS, wherever you use MCP."
triton-inference-server/server,backend service,9866,56.19,141,32,2025-10-08T20:39:25Z,https://github.com/triton-inference-server/server,fastapi,The Triton Inference Server provides an optimized cloud and edge inferencing solution.
jianchang512/pyvideotrans,webapp,14577,99.98,20,69,2025-09-18T13:40:42Z,https://github.com/jianchang512/pyvideotrans,flask,Translate the video from one language to another and add dubbing.         将视频从一种语言翻译为另一种语言，同时支持语音识别转录、语音合成、字幕翻译。
SWivid/F5-TTS,webapp,13371,98.42,54,11,2025-10-09T06:52:32Z,https://github.com/SWivid/F5-TTS,gradio,"Official code for ""F5-TTS: A Fairytaler that Fakes Fluent and Faithful Speech with Flow Matching"""
xorbitsai/inference,webapp,8596,88.53,120,121,2025-10-01T00:56:25Z,https://github.com/xorbitsai/inference,"fastapi,gradio","Replace OpenAI GPT with another LLM in your app by changing a single line of code. Xinference gives you the freedom to use any LLM you need. With Xinference, you're empowered to run inference with any open-source language models, speech recognition models, and multimodal models, whether in the cloud, on-premises, or even on your laptop."
QwenLM/Qwen3-Coder,llm model,13884,85.02,30,16,2025-07-31T15:40:21Z,https://github.com/QwenLM/Qwen3-Coder,"django,flask","Qwen3-Coder is the code version of Qwen3, the large language model series developed by Qwen team, Alibaba Cloud."
healthchecks/healthchecks,webapp,9489,63.66,101,80,2025-10-09T08:27:41Z,https://github.com/healthchecks/healthchecks,django,"Open-source cron job and background task monitoring service, written in Python & Django"
sissbruecker/linkding,webapp,9193,81.64,108,48,2025-10-05T18:16:10Z,https://github.com/sissbruecker/linkding,django,"Self-hosted bookmark manager that is designed be to be minimal, fast, and easy to set up using Docker."
blacklanternsecurity/bbot,cli tool,9025,99.91,49,355,2025-10-08T22:17:19Z,https://github.com/blacklanternsecurity/bbot,fastapi,The recursive internet scanner for hackers. 🧡
LMCache/LMCache,library,5496,93.31,119,333,2025-10-09T08:10:41Z,https://github.com/LMCache/LMCache,fastapi,Supercharge Your LLM with the Fastest KV Cache Layer
CTFd/CTFd,webapp,6271,57.05,152,71,2025-10-09T07:44:21Z,https://github.com/CTFd/CTFd,flask,CTFs as you need them
r0x0r/pywebview,framework,5481,75.72,170,43,2025-10-08T20:47:36Z,https://github.com/r0x0r/pywebview,flask,"Build GUI for your Python program with JavaScript, HTML, and CSS"
inventree/InvenTree,webapp,5820,68.83,116,271,2025-10-08T22:51:37Z,https://github.com/inventree/InvenTree,django,Open Source Inventory Management System
andrewyng/aisuite,sdk/api service,12382,50.9,34,15,2025-10-02T05:25:36Z,https://github.com/andrewyng/aisuite,fastapi,"Simple, unified interface to multiple Generative AI providers"
AsyncFuncAI/deepwiki-open,webapp,11046,50.62,52,14,2025-10-01T22:15:41Z,https://github.com/AsyncFuncAI/deepwiki-open,fastapi,Open Source DeepWiki: AI-Powered Wiki Generator for GitHub/Gitlab/Bitbucket Repositories. Join the discord: https://discord.gg/gMwThUMeme
Azure-Samples/azure-search-openai-demo,webapp,7329,65.89,111,57,2025-10-07T07:03:11Z,https://github.com/Azure-Samples/azure-search-openai-demo,flask,"A sample app for the Retrieval-Augmented Generation pattern running in Azure, using Azure AI Search for retrieval and Azure OpenAI large language models  to power ChatGPT-style and Q&A experiences."
zyddnys/manga-image-translator,webapp,8657,90.03,89,34,2025-10-03T14:48:13Z,https://github.com/zyddnys/manga-image-translator,fastapi,Translate manga/image 一键翻译各类图片内文字 https://cotrans.touhou.ai/ (no longer working)
Flagsmith/flagsmith,webapp,5978,62.5,110,192,2025-10-09T07:53:52Z,https://github.com/Flagsmith/flagsmith,django,Flagsmith is an open source feature flagging and remote config service. Self-host or use our hosted version at https://app.flagsmith.com.
LibrePhotos/librephotos,webapp,7800,100.0,78,114,2025-10-08T02:01:27Z,https://github.com/LibrePhotos/librephotos,"django,flask",A self-hosted open source photo management service. This is the repository of the backend.
vaexio/vaex,library,8432,60.81,75,65,2025-10-01T03:22:26Z,https://github.com/vaexio/vaex,fastapi,"Out-of-Core hybrid Apache Arrow/NumPy DataFrame for Python, ML, visualization and exploration of big tabular data at a billion rows per second 🚀"
hhyo/Archery,webapp,6578,99.51,122,11,2025-10-08T13:11:58Z,https://github.com/hhyo/Archery,django,SQL 审核查询平台
infobyte/faraday,webapp,5962,97.45,104,133,2025-10-03T17:14:08Z,https://github.com/infobyte/faraday,flask,Open Source Vulnerability Management Platform
lastmile-ai/mcp-agent,toolkit,7477,99.93,55,208,2025-10-09T01:06:53Z,https://github.com/lastmile-ai/mcp-agent,"fastapi,streamlit",Build effective agents using Model Context Protocol and simple workflow patterns
